,Unnamed: 0,date,time,name,username,state,tweet
0,0,2022-05-10,01:56:33,Nicholas Lamar Soutter,nicksoutter,Boston,"@PaleBlueMomma Well, murdering 21 year old really committing abortion... 66th trimester."
1,1,2022-05-10,01:44:44,mys. sylverfyre,sylverfyrevalk,Boston,"@hbt_ft @jskilesskinner anti abortion ppl harassed Boston MA clinic. usually many one time I realize I HRT checkup Friday Easter line people signs block long. ""for me"" settle nerves any."
2,2,2022-05-10,01:39:21,✿ artsy black girl ✿,fairyflossfro,Boston,This analysis lazy best. Why wasting time discussing this? People color effected abortion ban. Where class analysis? ☹️
3,3,2022-05-10,01:10:12,Sue,sue21222633,Boston,"@TomFitton Yes pass, I read it. It failed February. Only 7 states currently support late term abortion. I read every trigger law including Louisiana. He wants excuse put people record break filibuster"
4,4,2022-05-10,01:10:06,"Lady Jasmine, HRH",hrh_ladyj,Boston,"@PressSec @POTUS Noted, addendum, They NOT physical danger us... However ARE endangering US, abortion saves lives! They want personal space invaded.. Neither we.. We still right peaceful protest, stolen YET."
5,5,2022-05-10,01:05:38,Rob,rjmpublic,Boston,"@Lawrence Oh spare end democracy crap. It fixed, even consequences making abortion illegal backfire time. If anything, proof democracy working - need stop pretending abortion easy everyone accept."
6,6,2022-05-10,01:04:14,Sue,sue21222633,Boston,"@ElieNYC Well thank you, I independent, NH I heard all. Force religious people abortions? I spent week writing every GOP prochoice reasonable bill match states polls. And I warned Schumer bill get match polls."
7,7,2022-05-10,01:00:42,Fred Fredburger,scienceevolves,Boston,The best argument Progressives abortion visage personality. #RoeVWade
8,8,2022-05-10,00:57:07,Libby Potter Boss,libbyboss,Boston,@JonathanQuist @AshleyGWinter They really upset abortions. They're upset women exercising right children want them.
9,9,2022-05-10,00:55:44,Waylen Li,waylenli,Boston,WTF !? ⚡️ “Could online search history abortion lead arrest Roe v Wade falls?” @TRF_Stories https://t.co/v55LPWvdKG
10,10,2022-05-10,00:54:32,Sir Gaylord Teabagg,claymoore1966,Boston,"@GQPArePuppets @nonyabi88117386 @JayEph1 @SandyBa90452442 @Byrne4NY Texas going swamped lots low-income children require state assistance moms get abortions. The majority'll people color. That's right, Texas, going paying taxes help lot people look like you!"
11,11,2022-05-10,00:53:25,Amy (@🐄🌱) Art ☮️ 🇺🇦🏃‍♀️🎨👩‍🎨,amyartboston,Boston,"@modmothernature The right privacy considered one penumbra rights constitution, namely 5th 14th amendments, held Griswold v. Connecticut (1965) contraception case Roe v. Wade (1973) abortion case state regulation."
12,12,2022-05-10,00:50:47,Sue,sue21222633,Boston,@davidsirota Why put energy protesting state legislation change abortion laws? Or congress?
13,13,2022-05-10,00:41:56,Jerry StandMyGround,jerrymeyer3444,Boston,@TomFitton Why distancing rules abortion places enjoy apply churches? Let protest streets.
14,14,2022-05-10,00:40:01,Joe spina,joespina24,Boston,Democrats‘ Bill Codify ‘Roe‘ Abortion Omits Word ‘Woman‘ https://t.co/ROw7r4ey6n via @BreitbartNews Democrats difficulty associating penises &amp; vaginas gender markers.
15,15,2022-05-10,00:38:44,Maggie Fallon,maggiefallon15,Boston,@morgan_murphy They celebrate Mother's Day obsessing abortion. It tells EVERYTHING need know SOCIOPATHS.
16,16,2022-05-10,00:37:35,Amy (@🐄🌱) Art ☮️ 🇺🇦🏃‍♀️🎨👩‍🎨,amyartboston,Boston,"@modmothernature Do background Constitutional Law, I do. The Court ruled 1973 majority decision state compelling interest regulate abortion patient's right privacy Dr."
17,17,2022-05-10,00:34:37,Gʀᴇɢ.Oʀʏᴇʟ.,greg_oryel,Boston,"@MarcGoldwein @Brian_Riedl But would happen rulings contrary precedent? Instead state legislature we'd basically state judiciary determining fate abortions state. As say, we'd need set Supreme Judges address chaos."
18,18,2022-05-10,00:30:34,MASportsCentral,masportscentral,Boston,@GpkChris @arthursimonart @Julio_Rosas11 Abortion enthusiasts?
19,19,2022-05-10,00:25:42,Evan Jacobs 🇺🇦,probablyup,Boston,"@gruberchris They’re paying state abortions, announced days ago"
20,20,2022-05-10,00:25:14,Susan Wilson ‘We Are the Messengers’🇺🇸💙,stevesgirl56,Boston,@FPWellman That always plan concerns me. His take down/melt distracting abortion access issue. It advancing January 6 issue. It’s registering motivating voters. What goal?
21,21,2022-05-10,00:14:45,BL (Rohr) Morgan 🌈🌊🐬🌋🌎💚💜💛💙💘🐈🌊🐳,silverosita,Boston,"3-So political show forcing religious beliefs abortion &amp; birth control majority Americans agree, become kangaroo court untrustworthy justices political agenda. They're upholding oath &amp; care human rights."
22,22,2022-05-10,00:08:25,Eric ONeil,erico1955,Boston,"@zmcke @IngrahamAngle Not true, abortion live on. No pun intended!"
23,23,2022-05-10,00:02:20,Elwood,elwood,Boston,"@drsmithy @mattyglesias Habitually, course not. But realize don’t pass laws expect vast majority people do, right? I think debate abortion stifled people forget world works discussing it."
24,24,2022-05-10,00:01:34,Bill🌻,tastywaves77,Boston,@mattdizwhitlock Makes Catholic hospitals perform abortions
25,25,2022-05-10,00:00:09,Maggie Fallon,maggiefallon15,Boston,"@jeannemfl I always thought fetus viable outside womb, game over. If fetus viable, baby abortion. You murdering live infant."
26,26,2022-05-09,23:52:33,"RichC: nowhere else to go, my head is on th ground",rcownie,Boston,"@1xaipe @micahsb @ChronicBabak You're discounting possibility leadership deal Cuellar, supporting primary condition he'd vote right way abortion rights needed him. Sausage-making details know."
27,27,2022-05-09,23:49:47,LWeber,louweber,Boston,@DesJarlaisTN04 thetnholler Boy gonna awkward Republicans try ban abortions nationally @desjarlaistn04 still office. 🤷🏼 🤷🏽‍♀️ https://t.co/5kabVsNNvg
28,28,2022-05-09,23:32:14,Not Just Any Willtor,mightywilltor,Boston,"@Anythingpork Don't go road. The people depend services also ones need reproductive rights. Remember wealthy, use services, (and will) get abortions, anyway. The ""increasing needs"" vulnerable people crushed wheel."
29,29,2022-05-09,23:20:28,John Refior,jrefior,Boston,"""There's Justice Kennedy current Court. These five justices come anti-abortion movement, nominated promise reversing Roe."" -Lawyer @Kitkolbert argued &amp; Casey Planned Parenthood SCOTUS 1992 https://t.co/kILNVskpJU"
